Student ID,Name,Gender,DOB,City,State,Email,Qualification,Stream
1,Shubham,male,1998-12-26,Mumbai,Maharashtra,exmple@gmail.com,BE,Mech
2,Sanket,male,2020-08-29,Mumbai,Maharashtra,and@gm.com,BT,CS
3,Rahul,male,2020-08-29,Pune,Maharashtra,and@gm.com,BT,Mech
4,Messi,male,2020-08-29,Patna,Bihar,and@gm.com,BT,IT
5,Dipti,female,2020-08-29,Gandhinagar,Gujarat,and@gm.com,BT,IT
6,Tanvi,female,2020-08-29,Gangtok,Sikkim,and@gm.com,BT,CS
7,Mansi,female,2020-08-29,Jaipur,Rajasthan,and@gm.com,BT,Mech
8,Hardik,male,2020-08-29,Gangtok,Sikkim,and@gm.com,BT,CS
9,Chetan,male,2020-08-29,Mumbai,Maharashtra,and@gm.com,BT,CS
10,Pikhil,male,2020-08-29,Gandhinagar,Gujarat,and@gm.com,BT,IT
11,Shubham,male,1998-12-26,Mumbai,Maharashtra,exmple@gmail.com,BE,Mech
12,Sanket,male,2020-08-29,Mumbai,Maharashtra,and@gm.com,BT,CS
13,Rahul,male,2020-08-29,Pune,Maharashtra,and@gm.com,BT,Mech
14,Messi,male,2020-08-29,Patna,Bihar,and@gm.com,BT,IT
15,Swapnali,female,2020-08-29,Gandhinagar,Gujarat,and@gm.com,BT,IT
16,Tanvi,female,2020-08-29,Gangtok,Sikkim,and@gm.com,BT,CS
17,Mansi,female,2020-08-29,Jaipur,Rajasthan,and@gm.com,BT,Mech
18,Hardik,male,2020-08-29,Gangtok,Sikkim,and@gm.com,BT,CS
19,Chetan,male,2020-08-29,Mumbai,Maharashtra,and@gm.com,BT,CS
20,Pikhil,male,2020-08-29,Gandhinagar,Gujarat,and@gm.com,BT,IT
21,Pratik,male,2020-08-29,Pune,Maharashtra,and@gm.com,BT,Mech
